defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	cell	cell_label
http://purl.obolibrary.org/obo/CL_1001607	articular chondrocyte	http://purl.obolibrary.org/obo/UBERON_0010996	articular cartilage of joint	http://purl.obolibrary.org/obo/CL_0000138	chondrocyte
http://purl.obolibrary.org/obo/CL_0002603	astrocyte of the cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0002605	astrocyte of the cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0012000	astrocyte of the forebrain	http://purl.obolibrary.org/obo/UBERON_0001890	forebrain	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0002604	astrocyte of the hippocampus	http://purl.obolibrary.org/obo/UBERON_0001954	Ammon's horn	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0002606	astrocyte of the spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord	http://purl.obolibrary.org/obo/CL_0000127	astrocyte
http://purl.obolibrary.org/obo/CL_0010005	atrioventricular bundle cell	http://purl.obolibrary.org/obo/UBERON_0002353	bundle of His	http://purl.obolibrary.org/obo/CL_0000003	native cell
http://purl.obolibrary.org/obo/CL_0002187	basal cell of epidermis	http://purl.obolibrary.org/obo/UBERON_0001003	skin epidermis	http://purl.obolibrary.org/obo/CL_0000646	basal cell
http://purl.obolibrary.org/obo/CL_1000349	basal cell of epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	epithelium of bronchus	http://purl.obolibrary.org/obo/CL_0002633	respiratory basal cell
http://purl.obolibrary.org/obo/CL_1000352	basal cell of epithelium of lobular bronchiole	http://purl.obolibrary.org/obo/UBERON_0002051	epithelium of bronchiole	http://purl.obolibrary.org/obo/CL_0002633	respiratory basal cell
http://purl.obolibrary.org/obo/CL_1000351	basal cell of epithelium of respiratory bronchiole	http://purl.obolibrary.org/obo/UBERON_0001955	epithelium of respiratory bronchiole	http://purl.obolibrary.org/obo/CL_0002633	respiratory basal cell
http://purl.obolibrary.org/obo/CL_1000350	basal cell of epithelium of terminal bronchiole	http://purl.obolibrary.org/obo/UBERON_0001958	terminal bronchiole epithelium	http://purl.obolibrary.org/obo/CL_0002633	respiratory basal cell
http://purl.obolibrary.org/obo/CL_1000348	basal cell of epithelium of trachea	http://purl.obolibrary.org/obo/UBERON_0001901	epithelium of trachea	http://purl.obolibrary.org/obo/CL_0002633	respiratory basal cell
http://purl.obolibrary.org/obo/CL_0002169	basal cell of olfactory epithelium	http://purl.obolibrary.org/obo/UBERON_0001997	olfactory epithelium	http://purl.obolibrary.org/obo/CL_0002167	olfactory epithelial cell
http://purl.obolibrary.org/obo/CL_0002234	basal cell of prostatic acinus	http://purl.obolibrary.org/obo/UBERON_0004179	prostate glandular acinus	http://purl.obolibrary.org/obo/CL_0002341	basal cell of prostate epithelium
http://purl.obolibrary.org/obo/CL_1000486	basal cell of urothelium	http://purl.obolibrary.org/obo/UBERON_0000365	urothelium	http://purl.obolibrary.org/obo/CL_0000646	basal cell
http://purl.obolibrary.org/obo/CL_0002236	basal epithelial cell of prostatic duct	http://purl.obolibrary.org/obo/UBERON_0002485	prostate duct	http://purl.obolibrary.org/obo/CL_0002341	basal cell of prostate epithelium
http://purl.obolibrary.org/obo/CL_1001428	bladder urothelial cell	http://purl.obolibrary.org/obo/UBERON_0004645	urinary bladder urothelium	http://purl.obolibrary.org/obo/CL_0000731	urothelial cell
http://purl.obolibrary.org/obo/CL_0019018	blood vessel smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_1001610	bone marrow hematopoietic cell	http://purl.obolibrary.org/obo/UBERON_0002371	bone marrow	http://purl.obolibrary.org/obo/CL_0000988	hematopoietic cell
http://purl.obolibrary.org/obo/CL_2000005	brain macroglial cell	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/CL_0000126	macroglial cell
http://purl.obolibrary.org/obo/CL_2000043	brain pericyte	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/CL_0000669	pericyte cell
http://purl.obolibrary.org/obo/CL_1000312	bronchial goblet cell	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_0002598	bronchial smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_2000093	bronchus fibroblast of lung	http://purl.obolibrary.org/obo/UBERON_0002185	bronchus	http://purl.obolibrary.org/obo/CL_0002553	fibroblast of lung
http://purl.obolibrary.org/obo/CL_0002203	brush cell of epithelium proper of large intestine	http://purl.obolibrary.org/obo/UBERON_0000059	large intestine	http://purl.obolibrary.org/obo/CL_0002204	brush cell
http://purl.obolibrary.org/obo/CL_0002207	brush cell of trachea	http://purl.obolibrary.org/obo/UBERON_0001901	epithelium of trachea	http://purl.obolibrary.org/obo/CL_0002204	brush cell
http://purl.obolibrary.org/obo/CL_0002075	brush cell of trachebronchial tree	http://purl.obolibrary.org/obo/UBERON_0007196	tracheobronchial tree	http://purl.obolibrary.org/obo/CL_0002204	brush cell
http://purl.obolibrary.org/obo/CL_2000058	calvarial osteoblast	http://purl.obolibrary.org/obo/UBERON_0003129	skull	http://purl.obolibrary.org/obo/CL_0000062	osteoblast
http://purl.obolibrary.org/obo/CL_0010009	camera-type eye photoreceptor cell	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye	http://purl.obolibrary.org/obo/CL_0000210	photoreceptor cell
http://purl.obolibrary.org/obo/CL_0002144	capillary endothelial cell	http://purl.obolibrary.org/obo/UBERON_0001915	endothelium of capillary	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_2000067	cardiac atrium fibroblast	http://purl.obolibrary.org/obo/UBERON_0002081	cardiac atrium	http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/CL_0010006	cardiac blood vessel endothelial cell	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_0010008	cardiac endothelial cell	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_0010020	cardiac glial cell	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/CL_0010022	cardiac neuron	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/CL_0000540	neuron
http://purl.obolibrary.org/obo/CL_2000022	cardiac septum cell	http://purl.obolibrary.org/obo/UBERON_0002099	cardiac septum	http://purl.obolibrary.org/obo/CL_0000003	native cell
http://purl.obolibrary.org/obo/CL_2000066	cardiac ventricle fibroblast	http://purl.obolibrary.org/obo/UBERON_0002082	cardiac ventricle	http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/CL_0002494	cardiocyte	http://purl.obolibrary.org/obo/UBERON_0007100	primary circulatory organ	http://purl.obolibrary.org/obo/CL_0002371	somatic cell
http://purl.obolibrary.org/obo/CL_0000188	cell of skeletal muscle	http://purl.obolibrary.org/obo/UBERON_0001134	skeletal muscle tissue	http://purl.obolibrary.org/obo/CL_0002371	somatic cell
http://purl.obolibrary.org/obo/CL_0000878	central nervous system macrophage	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system	http://purl.obolibrary.org/obo/CL_0000864	tissue-resident macrophage
http://purl.obolibrary.org/obo/CL_0002575	central nervous system pericyte	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system	http://purl.obolibrary.org/obo/CL_0000669	pericyte cell
http://purl.obolibrary.org/obo/CL_0019029	centrilobular region hepatocyte	http://purl.obolibrary.org/obo/UBERON_8400008	liver lobule midzonal region	http://purl.obolibrary.org/obo/CL_0000182	hepatocyte
http://purl.obolibrary.org/obo/CL_0001031	cerebellar granule cell	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum	http://purl.obolibrary.org/obo/CL_0000120	granule cell
http://purl.obolibrary.org/obo/CL_2000028	cerebellum glutamatergic neuron	http://purl.obolibrary.org/obo/UBERON_0002037	cerebellum	http://purl.obolibrary.org/obo/CL_0000679	glutamatergic neuron
http://purl.obolibrary.org/obo/CL_1001602	cerebral cortex endothelial cell	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1001579	cerebral cortex glial cell	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex	http://purl.obolibrary.org/obo/CL_0000125	glial cell
http://purl.obolibrary.org/obo/CL_0002541	chorionic membrane mesenchymal stem cell	http://purl.obolibrary.org/obo/UBERON_0003124	chorion membrane	http://purl.obolibrary.org/obo/CL_0000134	mesenchymal stem cell
http://purl.obolibrary.org/obo/CL_0011101	chorionic trophoblast cell	http://purl.obolibrary.org/obo/UBERON_0003124	chorion membrane	http://purl.obolibrary.org/obo/CL_0000351	trophoblast cell
http://purl.obolibrary.org/obo/CL_0000706	choroid plexus epithelial cell	http://purl.obolibrary.org/obo/UBERON_0001886	choroid plexus	http://purl.obolibrary.org/obo/CL_0000065	ependymal cell
http://purl.obolibrary.org/obo/CL_0000348	choroidal cell of the eye	http://purl.obolibrary.org/obo/UBERON_0001776	optic choroid	http://purl.obolibrary.org/obo/CL_0000293	structural cell
http://purl.obolibrary.org/obo/CL_1000426	chromaffin cell of adrenal gland	http://purl.obolibrary.org/obo/UBERON_0002369	adrenal gland	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1000467	chromaffin cell of left ovary	http://purl.obolibrary.org/obo/UBERON_0002119	left ovary	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1000465	chromaffin cell of ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
